TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41047001604,Oregon,Marion County,8090,4062,4028,36.2,42.2,3.6,0.2,5.6,9.3,4857,45424.0,9381.0,18620.0,2232.0,27.1,46.8,16.4,23.9,26.6,11.7,21.4,82.5,7.0,4.0,4.3,0.5,1.7,23.3,3574,83.2,13.1,3.7,0.0,10.3
41047001701,Oregon,Marion County,6286,2982,3304,47.6,47.9,0.0,1.0,0.9,0.4,3605,32314.0,7592.0,17827.0,2369.0,26.9,47.7,14.4,30.3,22.8,20.8,11.7,62.0,28.4,3.6,3.3,0.3,2.4,26.5,2888,86.2,11.3,2.5,0.0,5.8
41047001702,Oregon,Marion County,5832,2760,3072,42.9,39.8,0.7,2.1,4.9,5.6,3185,47543.0,9696.0,17912.0,1864.0,13.0,12.2,25.7,20.6,19.4,20.3,14.0,62.5,21.2,4.4,1.7,1.0,9.2,24.4,2515,80.7,14.1,5.2,0.0,8.4
41047001703,Oregon,Marion County,4638,2242,2396,29.5,61.0,0.0,0.1,7.4,0.3,3256,56932.0,8426.0,22247.0,1985.0,7.9,11.2,20.9,21.5,31.2,7.2,19.1,68.7,12.3,0.6,0.3,9.2,8.9,22.2,2007,74.8,17.8,6.7,0.6,6.5
41047001801,Oregon,Marion County,6633,3448,3185,43.1,48.3,2.4,1.3,1.1,3.4,3943,44496.0,3552.0,17831.0,2111.0,22.2,37.0,20.9,17.2,23.2,18.1,20.6,66.7,22.1,4.1,2.7,2.4,2.0,22.8,2605,79.5,11.4,9.1,0.0,10.4
41047001802,Oregon,Marion County,8972,4636,4336,47.1,46.8,1.6,0.4,1.3,1.3,5331,55579.0,5391.0,19522.0,2665.0,18.6,25.9,26.7,23.8,20.8,14.5,14.3,77.3,18.4,0.0,0.6,1.5,2.3,20.7,4858,81.3,13.8,4.8,0.0,4.3
41047001803,Oregon,Marion County,5028,3004,2024,27.9,59.2,2.9,0.8,1.5,0.9,3809,37808.0,4632.0,15601.0,2170.0,18.1,20.1,23.0,28.6,23.4,8.5,16.4,68.1,11.5,0.0,11.4,4.2,4.8,21.4,1453,78.5,13.4,8.1,0.0,7.0
41047002000,Oregon,Marion County,10587,5171,5416,10.8,79.0,1.2,0.2,3.3,2.1,7769,58990.0,8731.0,29719.0,3099.0,9.9,8.7,36.2,14.9,26.5,10.1,12.3,79.4,9.6,6.1,0.8,1.0,3.1,22.8,5015,77.5,17.1,5.3,0.0,5.5
41047002101,Oregon,Marion County,2153,946,1207,10.1,82.9,0.0,0.3,1.5,0.0,1641,38836.0,2891.0,26915.0,4653.0,10.5,12.4,41.4,22.0,23.1,0.0,13.5,77.7,6.9,4.4,0.6,1.5,9.0,19.2,1036,66.6,29.7,3.7,0.0,6.2
41047002102,Oregon,Marion County,6264,2878,3386,13.6,82.3,0.6,0.8,1.8,0.0,4800,56056.0,11346.0,27997.0,3314.0,5.1,3.5,37.4,16.6,29.9,7.9,8.2,69.5,15.1,5.4,2.5,0.0,7.6,23.7,3024,72.0,18.8,9.2,0.0,5.4
41047002201,Oregon,Marion County,2026,1024,1002,7.7,86.8,0.5,0.3,1.8,0.0,1583,73148.0,8866.0,41458.0,5751.0,6.1,7.5,48.3,13.9,27.3,2.2,8.4,74.4,7.9,6.7,2.8,2.9,5.3,21.4,976,68.3,24.7,7.0,0.0,0.5
41047002202,Oregon,Marion County,6282,2630,3652,8.1,83.7,0.3,0.1,1.7,0.4,4606,76997.0,6538.0,33701.0,3280.0,8.1,7.1,48.3,16.3,26.9,3.9,4.6,79.6,10.9,0.3,1.1,1.7,6.4,25.3,3179,53.5,36.3,8.6,1.6,3.9
41047002301,Oregon,Marion County,3365,1607,1758,7.8,84.3,0.1,1.1,2.4,1.3,2544,68194.0,7926.0,33138.0,5150.0,6.0,6.4,52.3,10.9,23.1,9.5,4.3,83.3,8.8,0.0,2.1,0.0,5.8,22.9,1605,70.7,24.7,4.6,0.0,6.7
